user	spName	traffic	times
07326ac4	itunes		1377	1
07326ac4	meitu		9467	6
07326ac4	meitudata		1964	1
07326ac4	mobmore		2511	1
07326ac4	puata		87373	1
07326ac4	pubsage		35824	2
07326ac4	qpic		99871	2
07326ac4	qq		86253	18
07326ac4	rrimg		150499	10
07326ac4	sina		1339673	114
07326ac4	sinaimg		45527	3
07326ac4	tdimg		9015	2
07326ac4	umeng		6398	4
07326ac4	vlook		9532	1
07326ac4	ykimg		6360	1
079973d6	3g		22181	26
079973d6	dianxinos		10718	8
079973d6	dxsvr		4422	3
079973d6	flurry		2062	2
079973d6	hidroid		2478	1
079973d6	moji001		54561	12
079973d6	wap		2793	1
07a865a1	baidu		75727	9
07a865a1	diandian		9736	2
07a865a1	libdd		856444	12
07a865a1	monternet		1258	1
07a865a1	paipai		38940	4
07a865a1	paipaiimg		162827	12
07a865a1	qpic		4613	1
07a865a1	shop127		3674	1
07dc5437	baidu		336509	48
07dc5437	flurry		3065	2
07dc5437	monternet		9703	6
07dc5437	qq		23354	6
07dc5437	sina		24101	5
07dc5437	sinaimg		59707	9
07dc5437	soso		11351	3
07dc5437	wali		5225	1
07dc5437	yahooapis		59126	25
0842a8b1	baidu		51252	44
0842a8b1	flurry		0	2
0842a8b1	qlogo		257422	14
0842a8b1	qpic		6270	1
0842a8b1	qq		4884086	267
0842a8b1	sina		1913567	317
0842a8b1	sinaimg		55542	6
0842a8b1	taobao		188299	46
0842a8b1	taobaocdn		46221	7
0842a8b1	tencent		10983	4
0891c95d	apple		434442	136
0891c95d	eicodesign		12097	2
0891c95d	flurry		1410	1
0891c95d	mzstatic		128551	2
0891c95d	openclik		10582	3
0891c95d	qq		4228	3
0891c95d	sinaimg		17950	2
0891c95d	sogou		6006	2
0891c95d	trinitigame		28945	13
0891c95d	verisign		5166	2
08adea7b	alipay		1533	1
08adea7b	apple		80616	2
08adea7b	doubleclick		2051	1
08adea7b	google		3088	2
08adea7b	monternet		3570	3
08adea7b	qlogo		13045	2
08adea7b	qpic		21704	2
08adea7b	qq		2604	2
08adea7b	sohu		621756	46
08d2a5a1	10086		92151	13
08d2a5a1	blovestorm		2044	1
08d2a5a1	i139		208032	10
08d2a5a1	qq		4981	3
08d2a5a1	spbtraveler		3591	1
08d2a5a1	uc		22897	3
08d2a5a1	ucweb		260007	14
08d2a5a1	zby		102476	9
08d2a5a1	zhjtong		39022	4
08e90fd9	google		224590	3
08e90fd9	qpic		5761	1
08e90fd9	qq		42515	10
08e90fd9	scorecardresearch		2742	1
08e90fd9	sina		846667	131
08e90fd9	sinaimg		17426	1
08e90fd9	tapulous		36108	10
09429432	360		1227	1
09429432	apple		85549	13
09429432	baidu		55100	8
09429432	baidu-3img		6989	1
09429432	iask		230231	17
09429432	pachiratech		1263	1
09429432	qq		38889	1
09429432	sina		20143045	653
09429432	sinaimg		7279282	1330
09429432	uc		13497	2
09429432	ucweb		89635	2
09429432	umeng		1620	1
09630831	10jqka		98749	11
09630831	91		130750	28
09630831	91huo		1632	1
09630831	admob		1783	1
09630831	apple		8213	2
09630831	doubleclick		114163	12
09630831	flurry		10898	8
09630831	sina		315532	17
09630831	sinaimg		1284391	20
09630831	sinajs		7300	1
09630831	thsi		30081	5
09741425	baidu		175264	28
09741425	baidu-2img		226441	35
09741425	baidu-3img		40924	9
09741425	uc		223897	2
09741425	ucweb		215681	13
09a641b8	7thg		3856	4
09a641b8	adwhirl		5409	4
09a641b8	apple		8874	1
09a641b8	dodur		13335	6
09a641b8	flurry		2872	1
09a641b8	localytics		4935	3
09a641b8	moji001		6246	8
09a641b8	monternet		3340	2
09a641b8	pubsage		112149	11
09a641b8	qlogo		161658	9
09a641b8	qpic		703278	75
09a641b8	qq		27228	5
09a641b8	scorecardresearch		1526	1
09a641b8	tapulous		110276	20
09a641b8	verisign		4082	1
09a641b8	zdworks		1544	1
09a66422	360		28362	5
09a66422	dianxinos		3875	4
09a66422	ttpod		75706	51
09a66422	umeng		79549	29
09ae50f1	apple		4188	1
09ae50f1	monternet		2520	2
09ae50f1	qlogo		31056	4
09ae50f1	qq		16137	5
09ae50f1	tencent		7819	1
0a0b328a	gtimg		44454	2
0a0b328a	qq		136306	17
0a1a24bd	apple		3400	1
0a1a24bd	bet007		468261	45
0a1a24bd	umeng		5388	3
0a675f50	360		4432	4
0a675f50	sina		857498	46
0a675f50	sinaimg		28674	9
0a7fa5dd	126		4932	3
0a7fa5dd	163		637433	31
0a7fa5dd	admob		1516	1
0a7fa5dd	apple		13949	3
